"","ZipCode","GEOID10","TotGrad","TotEnrl","PctEnrl","Under18_Tot","Under5_Tot","Under5_ER","Under5_Hosp","FivePlus_Tot","FivePlus_ER","Tot_ER_Visits","Tot_Hosp_Visits","AsthmaCt","Diabetes1Ct","Diabetes2Ct","DiabetesOtherCt","PctUndr5ER","PctOvr5ER","PctAsthma","PctDiabetes","CntTested","EBLL","Under6CntTested","Under6EBLL","Under18CntTested","Under18EBLL","PctEBLL","PctUnder6EBLL","PctUnder18EBLL","Better_Lat","Better_Long","SquareFeet"
"80",48201,26163521900,NA,NA,NA,21,11,NA,8,10,NA,8,13,NA,0,0,0,NA,NA,NA,0,12,2,9,1,10,1,0.166666666666667,0.111111111111111,0.1,NA,NA,NA
"81",48201,26163517500,93,63,0.67741935483871,13,6,NA,NA,7,NA,NA,9,NA,0,0,0,NA,NA,NA,0,11,0,8,0,10,0,0,0,0,42.3532,-83.0744,22100.821554
"82",48201,26163517500,93,63,0.67741935483871,13,6,NA,NA,7,NA,NA,9,NA,0,0,0,NA,NA,NA,0,11,0,8,0,10,0,0,0,0,NA,NA,NA
"83",48201,26163517500,93,63,0.67741935483871,13,6,NA,NA,7,NA,NA,9,NA,0,0,0,NA,NA,NA,0,11,0,8,0,10,0,0,0,0,42.358894,-83.057777,36024.53913
"84",48201,26163517500,93,63,0.67741935483871,13,6,NA,NA,7,NA,NA,9,NA,0,0,0,NA,NA,NA,0,11,0,8,0,10,0,0,0,0,NA,NA,7765.677603
"85",48201,26163517500,93,63,0.67741935483871,13,6,NA,NA,7,NA,NA,9,NA,0,0,0,NA,NA,NA,0,11,0,8,0,10,0,0,0,0,NA,NA,NA
"86",48201,26163521500,55,11,0.2,19,11,NA,7,8,NA,6,13,8,0,0,0,NA,NA,0.421053,0,34,0,28,0,33,0,0,0,0,42.3532,-83.0744,22100.821554
"87",48201,26163521500,55,11,0.2,19,11,NA,7,8,NA,6,13,8,0,0,0,NA,NA,0.421053,0,34,0,28,0,33,0,0,0,0,NA,NA,NA
"88",48201,26163521500,55,11,0.2,19,11,NA,7,8,NA,6,13,8,0,0,0,NA,NA,0.421053,0,34,0,28,0,33,0,0,0,0,42.358894,-83.057777,36024.53913
"89",48201,26163521500,55,11,0.2,19,11,NA,7,8,NA,6,13,8,0,0,0,NA,NA,0.421053,0,34,0,28,0,33,0,0,0,0,NA,NA,7765.677603
"90",48201,26163521500,55,11,0.2,19,11,NA,7,8,NA,6,13,8,0,0,0,NA,NA,0.421053,0,34,0,28,0,33,0,0,0,0,NA,NA,NA
"91",48201,26163520300,88,64,0.727272727272727,16,10,NA,6,6,NA,7,9,NA,0,0,0,NA,NA,NA,0,12,0,11,0,12,0,0,0,0,42.3532,-83.0744,22100.821554
"92",48201,26163520300,88,64,0.727272727272727,16,10,NA,6,6,NA,7,9,NA,0,0,0,NA,NA,NA,0,12,0,11,0,12,0,0,0,0,NA,NA,NA
"93",48201,26163520300,88,64,0.727272727272727,16,10,NA,6,6,NA,7,9,NA,0,0,0,NA,NA,NA,0,12,0,11,0,12,0,0,0,0,42.358894,-83.057777,36024.53913
"94",48201,26163520300,88,64,0.727272727272727,16,10,NA,6,6,NA,7,9,NA,0,0,0,NA,NA,NA,0,12,0,11,0,12,0,0,0,0,NA,NA,7765.677603
"95",48201,26163520300,88,64,0.727272727272727,16,10,NA,6,6,NA,7,9,NA,0,0,0,NA,NA,NA,0,12,0,11,0,12,0,0,0,0,NA,NA,NA
"96",48201,26163521900,NA,NA,NA,23,13,NA,8,10,NA,9,14,9,0,0,0,NA,NA,0.391304,0,92,4,76,4,86,4,0.0434782608695652,0.0526315789473684,0.0465116279069767,42.3532,-83.0744,22100.821554
"97",48201,26163521900,NA,NA,NA,23,13,NA,8,10,NA,9,14,9,0,0,0,NA,NA,0.391304,0,92,4,76,4,86,4,0.0434782608695652,0.0526315789473684,0.0465116279069767,NA,NA,NA
"98",48201,26163521900,NA,NA,NA,23,13,NA,8,10,NA,9,14,9,0,0,0,NA,NA,0.391304,0,92,4,76,4,86,4,0.0434782608695652,0.0526315789473684,0.0465116279069767,42.358894,-83.057777,36024.53913
"99",48201,26163521900,NA,NA,NA,23,13,NA,8,10,NA,9,14,9,0,0,0,NA,NA,0.391304,0,92,4,76,4,86,4,0.0434782608695652,0.0526315789473684,0.0465116279069767,NA,NA,7765.677603
"100",48201,26163521900,NA,NA,NA,23,13,NA,8,10,NA,9,14,9,0,0,0,NA,NA,0.391304,0,92,4,76,4,86,4,0.0434782608695652,0.0526315789473684,0.0465116279069767,NA,NA,NA
"101",48201,26163522500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,NA,NA,42.3532,-83.0744,22100.821554
"102",48201,26163522500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"103",48201,26163522500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,NA,NA,42.358894,-83.057777,36024.53913
"104",48201,26163522500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA,0,NA,NA,NA,NA,7765.677603
